group,uid,dwt,V_actual,Lambda,lt_home,lt_best_working,Delta_nats,share_nonwork_mass,W1_eur,W4_eur,W1_workingonly_eur,W6_eur,W1_closed_form_eur,W4_closed_form_eur
singles_female,300003427600,975.1263,6.963628212375942,7.020213992365162,3.20497589075711,3.1813398415684895,-3.8152381016080517,0.041212353596144426,1923.0115681516186,82813.3021875739,1972.061407234719,101460.17828696899,1923.011568151587,82813.3021875739
singles_female,300003430200,1824.559,7.205561093243383,7.265778794820807,3.7654140323606975,3.72796447541968,-3.500364762460109,0.048641112924462424,1916.0369262995773,60736.41830871414,1969.4906359334655,76957.64619462355,1916.0369262995875,60736.41830871414
singles_female,300003431600,1681.85,8.282731929670089,7.68677798965892,4.2886001327550085,4.253782614262941,-3.398177856903912,0.04834379730798773,3688.0658085244677,104099.35591400387,3767.010164542062,135814.89980115986,3688.065808524364,104099.35591400387
singles_female,300003435100,5674.392,8.792685614222904,8.69337512917036,5.173637672273042,5.105355656258137,-3.5197374568973174,0.09585952568947818,2247.376469907764,72296.96523684614,2317.941517011103,99219.60744678171,2247.376469907763,72296.96523684614
singles_female,300003436300,3586.769,10.755703027329265,10.82644526700808,6.611903539910065,6.5712360679778365,-4.214541727098014,0.03379927543131014,1895.9673568928304,120365.73311786365,1908.965743163868,178231.3694024224,1895.967356892869,120365.73311786365
singles_female,300003436800,1769.118,9.335468840678203,9.085344634276563,6.237249624861132,6.19176950184898,-2.848095009415431,0.28157107666980047,2612.6832736067945,43505.38529548419,3052.0345920587197,63346.12175729226,2612.6832736068163,43505.38529548419
singles_female,300003437100,2668.651,8.360428978353173,8.323782131131633,4.976810882496953,4.922490841852438,-3.34697124863468,0.0348904353869163,2110.9374971529423,57480.157642464466,2154.2152902287553,78067.91233682889,2110.937497152931,57480.157642464466
singles_female,300003442300,2775.975,6.266129279048932,6.416132882727999,3.8586595496801896,3.8302121417402124,-2.5574733330478097,0.08470538720643256,1751.3754386854973,22114.964314151835,1822.7710850216147,28226.885492711623,1751.3754386854696,22114.964314151835
singles_female,300003453701,1334.463,7.172725387196446,7.3442352379692535,3.20497589075711,3.1741276113677395,-4.1392593472121435,0.042670648304374156,1714.0670793434235,101467.27832882253,1763.4493047782278,124275.61259056014,1714.0670793434292,101467.27832882253
singles_female,300003454000,1582.662,7.727961006414319,7.569322949290545,4.489372735277288,4.424952592105342,-3.079950214013257,0.06806463225082562,2384.604171283354,49897.01964930407,2510.311116369331,65949.3933204003,2384.604171283377,49897.01964930407
singles_female,300003454100,3143.602,8.097111835541892,7.7485604499549,3.767833165928874,3.739008261508992,-3.980727284026026,0.034069746916054806,2882.281300069597,144061.80488696083,2949.7032890771798,182281.34454106167,2882.281300069572,144061.80488696083
singles_female,300003454800,2146.394,7.895812683542123,7.857539929687621,3.784180463338182,3.751881258431257,-4.073359466349439,0.02472257694524123,2114.3715001643955,116669.32556575995,2150.28782442234,147817.8216178412,2114.371500164431,116669.32556575995
singles_female,300003462300,5709.328,8.147926603163668,8.493058044689679,4.97923001606513,4.947323659582665,-3.513828028624549,0.06277607432491035,1440.3795643939895,46605.883220744676,1483.1472059932328,63338.16725633852,1440.3795643939782,46605.883220744676
singles_female,300003465200,2004.128,8.510505143346066,8.610202467244967,5.013757106883996,4.979523418733488,-3.5964453603609714,0.07494686384820164,1841.822156450858,64180.17217549899,1893.3365305732805,87325.35568122953,1841.8221564508403,64180.17217549899
singles_female,300003469400,1422.765,8.66314001550262,8.911060476445453,4.728570654144697,4.65959257967557,-4.182489822300756,0.01610663316864888,1587.7797689737613,98250.58376993613,1604.2655350375558,131437.29367118108,1587.7797689737552,98250.58376993613
singles_female,300003470100,3629.836,6.614001090412246,6.785666420420804,2.647262699543934,2.6287724702191,-4.13840372087687,0.03627324083437843,1713.8002511569734,101367.72855261373,1758.869768784894,120055.38881180418,1713.8002511569805,101367.72855261373
singles_female,300003473700,916.9026,9.004756403403874,9.105807652062353,4.489372735277288,4.424897473728589,-4.616434916785065,0.005590526698509113,1839.3282587918588,172485.0461646959,1847.5618690235642,227381.49737932498,1839.3282587918786,172485.0461646959
singles_female,300003474500,2691.424,6.867163195163752,6.912222670601202,2.556436315792618,2.5105520156681407,-4.3557863548085844,0.022620706985679483,1945.313661174323,141497.0571505337,1980.6426324345452,166589.14467674587,1945.3136611743225,141497.0571505337
singles_female,300003474800,1601.114,6.378558207700123,6.694607770044924,3.0772032826187523,3.0521072473583883,-3.617404487426172,0.04645201280680675,1482.9919169248583,53048.66017562058,1529.3093100956044,64541.45139091462,1482.9919169248649,53048.66017562058
singles_female,300003475100,1725.938,9.219326749924257,9.149684531869422,5.248750983402907,5.192125977908112,-3.900933548466515,0.07534012712781962,2181.721498090177,101746.05753033746,2284.438176126974,140100.51461921516,2181.7214980902104,101746.05753033746
singles_female,300003475800,1129.589,7.474402662004519,7.553234162061641,4.264102980251012,4.231045673669337,-3.289131181810629,0.04611086087315639,1880.6836184964807,48538.03336796663,1955.1224397372787,63334.31396226658,1880.6836184964632,48538.03336796663
singles_female,300003477000,2596.129,6.247469262821432,6.551052939527369,2.5655262124973968,2.528174925123241,-3.9855267270299723,0.047079463810202844,1501.6385011091024,76859.84400768219,1546.9100012525512,90608.4630973535,1501.6385011091252,76859.84400768219
singles_female,300003478401,3237.19,7.407010106442981,7.526365145860152,3.765414032360697,3.7380432955622585,-3.7609511134994547,0.06754332921868964,1805.9401822840132,73900.99936042601,1862.7756398175138,93605.26267395669,1805.940182284019,73900.99936042601
singles_female,300003480800,2446.088,6.996020560382202,7.209593334948466,2.7774544412504674,2.7588860713783045,-4.432138893697999,0.018550605556980085,1643.3626589629273,129412.42757316056,1666.9368658230558,154435.22497762635,1643.362658962897,129412.42757316056
singles_female,300003483800,2559.375,6.423166932956124,6.637333840375628,3.2958748578049004,3.2724864784328895,-3.3414589825707273,0.06901278822444643,1642.3849885405566,44758.76772222813,1707.380916798445,55188.35393545026,1642.3849885405573,44758.76772222813
singles_female,300003488500,2100.031,9.148806198086131,9.415464189006087,5.82464396802564,5.732432559632759,-3.590820220980447,0.05058977223872437,1558.2486332794365,54242.14366799307,1608.1159082335885,77199.75279124425,1558.2486332794242,54242.14366799307
singles_female,300003490600,2055.407,8.50376060134937,9.041524677918083,4.8921887948307194,4.841243601834144,-4.149335883087364,0.013886175102927154,1187.235108384434,71772.79144494978,1193.7561751283529,96969.737755776,1187.2351083844565,71772.79144494978
singles_female,300003492400,1754.899,7.374311042578573,7.236333897963049,2.9633588383215264,2.939408376236189,-4.272975059641523,0.046379655286749,2335.8957477031754,155912.80207859154,2410.5389314011463,188103.86355059367,2335.8957477032327,155912.80207859154
