occurrence_id,surface,location,rendered,parsed_value,decimals,percent,context,family_hint,quantity_id,source,source_value,source_scale,tolerance,unit,weighting,status,note
story-00217,story,table-12:r3c5,0.0270,0.027,4,False,"The full margin-by-margin comparison | Specification | Free coordinates | Criterion | Difference | Population fit | Benchmark A: common opportunity distribution, preferences re-estimated | 10 | 6403.974 | +150.51 | 0.0270; display_column=Population fit",POSFIT,POSFIT:MNL_posfit/outputs/positive_fit_diagnostics_v3/model_simulated_bands.csv:row=282:simulated_sd,MNL_posfit/outputs/positive_fit_diagnostics_v3/model_simulated_bands.csv,0.027049109239971673,1.0,5e-05,,weighted,PASS,parsed signed value; |display-source|=4.91e-05 <= 5e-05
story-00218,story,table-12:r4c2,16,16.0,0,False,"The full margin-by-margin comparison | Specification | Free coordinates | Criterion | Difference | Population fit | Benchmark B: common opportunity shape, employment and hours moved into utility and re-estimated | 16 | 6395.108 | +141.64 | 0.0261; display_column=Free coordinates",POSFIT,POSFIT:MNL_posfit/outputs/positive_fit_diagnostics_v3/model_simulated_bands.csv:row=195:simulated_mean,MNL_posfit/outputs/positive_fit_diagnostics_v3/model_simulated_bands.csv,16.01645373200556,1.0,0.5,,weighted,PASS,parsed signed value; |display-source|=0.0165 <= 0.5
story-00219,story,table-12:r4c3,6395.108,6395.108,3,False,"The full margin-by-margin comparison | Specification | Free coordinates | Criterion | Difference | Population fit | Benchmark B: common opportunity shape, employment and hours moved into utility and re-estimated | 16 | 6395.108 | +141.64 | 0.0261; display_column=Criterion",POSFIT,S11:MNL/experiments/JMP_SEMINAR_SPRINT/runs/s11_welfare_specs_of_record/s11_welfare_specs_of_record_v1.json:results.RUM-B.base_runs.S3_perturbed.negll_final,MNL/experiments/JMP_SEMINAR_SPRINT/runs/s11_welfare_specs_of_record/s11_welfare_specs_of_record_v1.json,6395.107857483557,1.0,0.0005,,,PASS,parsed signed value; |display-source|=0.000143 <= 0.0005
story-00220,story,table-12:r4c4,+141.64,141.64,2,False,"The full margin-by-margin comparison | Specification | Free coordinates | Criterion | Difference | Population fit | Benchmark B: common opportunity shape, employment and hours moved into utility and re-estimated | 16 | 6395.108 | +141.64 | 0.0261; display_column=Difference",POSFIT,S11:RUM-B:criterion_difference_vs_SINGLES,MNL/experiments/JMP_SEMINAR_SPRINT/runs/s11_welfare_specs_of_record/s11_welfare_specs_of_record_v1.json,141.64478310393315,1.0,0.005,log-points,same S11 singles households,PASS,parsed signed value; |display-source|=0.00478 <= 0.005
story-00221,story,table-12:r4c5,0.0261,0.0261,4,False,"The full margin-by-margin comparison | Specification | Free coordinates | Criterion | Difference | Population fit | Benchmark B: common opportunity shape, employment and hours moved into utility and re-estimated | 16 | 6395.108 | +141.64 | 0.0261; display_column=Population fit",POSFIT,POSFIT:MNL_posfit/outputs/positive_fit_diagnostics_v3/model_simulated_bands.csv:row=404:simulated_p975,MNL_posfit/outputs/positive_fit_diagnostics_v3/model_simulated_bands.csv,0.026113247164048864,1.0,5e-05,,unweighted,PASS,parsed signed value; |display-source|=1.32e-05 <= 5e-05
story-00222,story,table-13:r2c2,"1,540",1540.0,0,False,"Within-sample equivalised results | Population | N | Workers | Non-workers | \(C^{eq}\) mean | \(C^{eq}\) median | \(C^{eq}\) Gini | \(W^1_F{}^{eq}\) mean | \(W^1_F{}^{eq}\) median | \(W^1_F{}^{eq}\) Gini | Single-adult | 1,540 | 1,336 | 204 | 1,766 | 1,588 | 0.2633 | 1,302 | 1,165 | 0.2498; display_column=N",BASELINE,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json:equivalised.C_eq.n,MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json,1540.0,1.0,0.5,,,PASS,parsed signed value; |display-source|=0 <= 0.5
story-00223,story,table-13:r2c3,"1,336",1336.0,0,False,"Within-sample equivalised results | Population | N | Workers | Non-workers | \(C^{eq}\) mean | \(C^{eq}\) median | \(C^{eq}\) Gini | \(W^1_F{}^{eq}\) mean | \(W^1_F{}^{eq}\) median | \(W^1_F{}^{eq}\) Gini | Single-adult | 1,540 | 1,336 | 204 | 1,766 | 1,588 | 0.2633 | 1,302 | 1,165 | 0.2498; display_column=Workers",BASELINE,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json:worker_ratio.n_workers,MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json,1336.0,1.0,0.5,,,PASS,parsed signed value; |display-source|=0 <= 0.5
story-00224,story,table-13:r2c4,204,204.0,0,False,"Within-sample equivalised results | Population | N | Workers | Non-workers | \(C^{eq}\) mean | \(C^{eq}\) median | \(C^{eq}\) Gini | \(W^1_F{}^{eq}\) mean | \(W^1_F{}^{eq}\) median | \(W^1_F{}^{eq}\) Gini | Single-adult | 1,540 | 1,336 | 204 | 1,766 | 1,588 | 0.2633 | 1,302 | 1,165 | 0.2498; display_column=Non-workers",BASELINE,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json:worker_ratio.n_nonworkers_excluded,MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json,204.0,1.0,0.5,,,PASS,parsed signed value; |display-source|=0 <= 0.5
story-00225,story,table-13:r2c5,"1,766",1766.0,0,False,"Within-sample equivalised results | Population | N | Workers | Non-workers | \(C^{eq}\) mean | \(C^{eq}\) median | \(C^{eq}\) Gini | \(W^1_F{}^{eq}\) mean | \(W^1_F{}^{eq}\) median | \(W^1_F{}^{eq}\) Gini | Single-adult | 1,540 | 1,336 | 204 | 1,766 | 1,588 | 0.2633 | 1,302 | 1,165 | 0.2498; display_column=\(C^{eq}\) mean",BASELINE,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json:equivalised.C_eq.dwt_weighted_mean,MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json,1766.4864931555696,1.0,0.5,,,PASS,parsed signed value; |display-source|=0.486 <= 0.5
story-00226,story,table-13:r2c6,"1,588",1588.0,0,False,"Within-sample equivalised results | Population | N | Workers | Non-workers | \(C^{eq}\) mean | \(C^{eq}\) median | \(C^{eq}\) Gini | \(W^1_F{}^{eq}\) mean | \(W^1_F{}^{eq}\) median | \(W^1_F{}^{eq}\) Gini | Single-adult | 1,540 | 1,336 | 204 | 1,766 | 1,588 | 0.2633 | 1,302 | 1,165 | 0.2498; display_column=\(C^{eq}\) median",BASELINE,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json:equivalised.C_eq.dwt_weighted_median,MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json,1588.2908803476698,1.0,0.5,,,PASS,parsed signed value; |display-source|=0.291 <= 0.5
story-00227,story,table-13:r2c7,0.2633,0.2633,4,False,"Within-sample equivalised results | Population | N | Workers | Non-workers | \(C^{eq}\) mean | \(C^{eq}\) median | \(C^{eq}\) Gini | \(W^1_F{}^{eq}\) mean | \(W^1_F{}^{eq}\) median | \(W^1_F{}^{eq}\) Gini | Single-adult | 1,540 | 1,336 | 204 | 1,766 | 1,588 | 0.2633 | 1,302 | 1,165 | 0.2498; display_column=\(C^{eq}\) Gini",BASELINE,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json:equivalised.C_eq.dwt_weighted_gini,MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json,0.26329154083246864,1.0,5e-05,,,PASS,parsed signed value; |display-source|=8.46e-06 <= 5e-05
story-00228,story,table-13:r2c8,"1,302",1302.0,0,False,"Within-sample equivalised results | Population | N | Workers | Non-workers | \(C^{eq}\) mean | \(C^{eq}\) median | \(C^{eq}\) Gini | \(W^1_F{}^{eq}\) mean | \(W^1_F{}^{eq}\) median | \(W^1_F{}^{eq}\) Gini | Single-adult | 1,540 | 1,336 | 204 | 1,766 | 1,588 | 0.2633 | 1,302 | 1,165 | 0.2498; display_column=\(W^1_F{}^{eq}\) mean",BASELINE,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json:equivalised.W_F_eq.dwt_weighted_mean,MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json,1302.0715759810155,1.0,0.5,,,PASS,parsed signed value; |display-source|=0.0716 <= 0.5
story-00229,story,table-13:r2c9,"1,165",1165.0,0,False,"Within-sample equivalised results | Population | N | Workers | Non-workers | \(C^{eq}\) mean | \(C^{eq}\) median | \(C^{eq}\) Gini | \(W^1_F{}^{eq}\) mean | \(W^1_F{}^{eq}\) median | \(W^1_F{}^{eq}\) Gini | Single-adult | 1,540 | 1,336 | 204 | 1,766 | 1,588 | 0.2633 | 1,302 | 1,165 | 0.2498; display_column=\(W^1_F{}^{eq}\) median",BASELINE,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json:equivalised.W_F_eq.dwt_weighted_median,MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json,1165.1408573494155,1.0,0.5,,,PASS,parsed signed value; |display-source|=0.141 <= 0.5
story-00230,story,table-13:r2c10,0.2498,0.2498,4,False,"Within-sample equivalised results | Population | N | Workers | Non-workers | \(C^{eq}\) mean | \(C^{eq}\) median | \(C^{eq}\) Gini | \(W^1_F{}^{eq}\) mean | \(W^1_F{}^{eq}\) median | \(W^1_F{}^{eq}\) Gini | Single-adult | 1,540 | 1,336 | 204 | 1,766 | 1,588 | 0.2633 | 1,302 | 1,165 | 0.2498; display_column=\(W^1_F{}^{eq}\) Gini",BASELINE,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json:equivalised.W_F_eq.dwt_weighted_gini,MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json,0.24980721054552937,1.0,5e-05,,,PASS,parsed signed value; |display-source|=7.21e-06 <= 5e-05
story-00231,story,table-13:r3c2,"2,223",2223.0,0,False,"Within-sample equivalised results | Population | N | Workers | Non-workers | \(C^{eq}\) mean | \(C^{eq}\) median | \(C^{eq}\) Gini | \(W^1_F{}^{eq}\) mean | \(W^1_F{}^{eq}\) median | \(W^1_F{}^{eq}\) Gini | Couple | 2,223 | 2,173 | 50 | 2,245 | 2,063 | 0.2268 | 1,311 | 1,237 | 0.1974; display_column=N",BASELINE,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/couples_equivalised_reporting_v1.json:equivalised.C_eq.n,MNL/outputs/welfare/baseline_f1_equivalised_v1/couples_equivalised_reporting_v1.json,2223.0,1.0,0.5,,,PASS,parsed signed value; |display-source|=0 <= 0.5
story-00232,story,table-13:r3c3,"2,173",2173.0,0,False,"Within-sample equivalised results | Population | N | Workers | Non-workers | \(C^{eq}\) mean | \(C^{eq}\) median | \(C^{eq}\) Gini | \(W^1_F{}^{eq}\) mean | \(W^1_F{}^{eq}\) median | \(W^1_F{}^{eq}\) Gini | Couple | 2,223 | 2,173 | 50 | 2,245 | 2,063 | 0.2268 | 1,311 | 1,237 | 0.1974; display_column=Workers",BASELINE,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/couples_equivalised_reporting_v1.json:worker_ratio.n_workers,MNL/outputs/welfare/baseline_f1_equivalised_v1/couples_equivalised_reporting_v1.json,2173.0,1.0,0.5,,,PASS,parsed signed value; |display-source|=0 <= 0.5
story-00233,story,table-13:r3c4,50,50.0,0,False,"Within-sample equivalised results | Population | N | Workers | Non-workers | \(C^{eq}\) mean | \(C^{eq}\) median | \(C^{eq}\) Gini | \(W^1_F{}^{eq}\) mean | \(W^1_F{}^{eq}\) median | \(W^1_F{}^{eq}\) Gini | Couple | 2,223 | 2,173 | 50 | 2,245 | 2,063 | 0.2268 | 1,311 | 1,237 | 0.1974; display_column=Non-workers",BASELINE,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/couples_equivalised_reporting_v1.json:worker_ratio.n_nonworkers_excluded,MNL/outputs/welfare/baseline_f1_equivalised_v1/couples_equivalised_reporting_v1.json,50.0,1.0,0.5,,,PASS,parsed signed value; |display-source|=0 <= 0.5
story-00234,story,table-13:r3c5,"2,245",2245.0,0,False,"Within-sample equivalised results | Population | N | Workers | Non-workers | \(C^{eq}\) mean | \(C^{eq}\) median | \(C^{eq}\) Gini | \(W^1_F{}^{eq}\) mean | \(W^1_F{}^{eq}\) median | \(W^1_F{}^{eq}\) Gini | Couple | 2,223 | 2,173 | 50 | 2,245 | 2,063 | 0.2268 | 1,311 | 1,237 | 0.1974; display_column=\(C^{eq}\) mean",BASELINE,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/couples_equivalised_reporting_v1.json:equivalised.C_eq.dwt_weighted_mean,MNL/outputs/welfare/baseline_f1_equivalised_v1/couples_equivalised_reporting_v1.json,2245.109851790558,1.0,0.5,,,PASS,parsed signed value; |display-source|=0.11 <= 0.5
story-00235,story,table-13:r3c7,0.2268,0.2268,4,False,"Within-sample equivalised results | Population | N | Workers | Non-workers | \(C^{eq}\) mean | \(C^{eq}\) median | \(C^{eq}\) Gini | \(W^1_F{}^{eq}\) mean | \(W^1_F{}^{eq}\) median | \(W^1_F{}^{eq}\) Gini | Couple | 2,223 | 2,173 | 50 | 2,245 | 2,063 | 0.2268 | 1,311 | 1,237 | 0.1974; display_column=\(C^{eq}\) Gini",BASELINE,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/couples_equivalised_reporting_v1.json:equivalised.C_eq.dwt_weighted_gini,MNL/outputs/welfare/baseline_f1_equivalised_v1/couples_equivalised_reporting_v1.json,0.22680484110413296,1.0,5e-05,,,PASS,parsed signed value; |display-source|=4.84e-06 <= 5e-05
